RL-Glue C Experiment Codec Version 2.0, Build 576
	Connecting to host=127.0.0.1 on port=4096...
	RL-Glue C Experiment Codec :: Connected
VERSION RL-Glue-3.0 PROBLEMTYPE episodic DISCOUNTFACTOR 1 OBSERVATIONS INTS (128 0 255)(33600 0 127) ACTIONS INTS (0 18) REWARDS (UNSPEC UNSPEC) EXTRA Name: Arcade Learning Environment 
8481 Steps 	7440.000000 total reward	 1 natural end 
6921 Steps 	9360.000000 total reward	 1 natural end 
4633 Steps 	5630.000000 total reward	 1 natural end 
4049 Steps 	6100.000000 total reward	 1 natural end 
6089 Steps 	4520.000000 total reward	 1 natural end 
7689 Steps 	7760.000000 total reward	 1 natural end 
4457 Steps 	5330.000000 total reward	 1 natural end 
4121 Steps 	2090.000000 total reward	 1 natural end 
5857 Steps 	3180.000000 total reward	 1 natural end 
7297 Steps 	6060.000000 total reward	 1 natural end 
5137 Steps 	4400.000000 total reward	 1 natural end 
4505 Steps 	4640.000000 total reward	 1 natural end 
6937 Steps 	7570.000000 total reward	 1 natural end 
5137 Steps 	4190.000000 total reward	 1 natural end 
6905 Steps 	4840.000000 total reward	 1 natural end 
3609 Steps 	5580.000000 total reward	 1 natural end 
4489 Steps 	4700.000000 total reward	 1 natural end 
6145 Steps 	8250.000000 total reward	 1 natural end 
4361 Steps 	1230.000000 total reward	 1 natural end 
4761 Steps 	5530.000000 total reward	 1 natural end 
4225 Steps 	1720.000000 total reward	 1 natural end 
3873 Steps 	1950.000000 total reward	 1 natural end 
8737 Steps 	3320.000000 total reward	 1 natural end 
6081 Steps 	8620.000000 total reward	 1 natural end 
5089 Steps 	2070.000000 total reward	 1 natural end 
6465 Steps 	6480.000000 total reward	 1 natural end 
7585 Steps 	3960.000000 total reward	 1 natural end 
14417 Steps 	5720.000000 total reward	 1 natural end 
6233 Steps 	9340.000000 total reward	 1 natural end 
6057 Steps 	4740.000000 total reward	 1 natural end 
5409 Steps 	6920.000000 total reward	 1 natural end 
5225 Steps 	6190.000000 total reward	 1 natural end 
7257 Steps 	5030.000000 total reward	 1 natural end 
4553 Steps 	4620.000000 total reward	 1 natural end 
9897 Steps 	7990.000000 total reward	 1 natural end 
5481 Steps 	2200.000000 total reward	 1 natural end 
8473 Steps 	7910.000000 total reward	 1 natural end 
4505 Steps 	4570.000000 total reward	 1 natural end 
4809 Steps 	5560.000000 total reward	 1 natural end 
5865 Steps 	4350.000000 total reward	 1 natural end 
5649 Steps 	7930.000000 total reward	 1 natural end 
5721 Steps 	5590.000000 total reward	 1 natural end 
9385 Steps 	8100.000000 total reward	 1 natural end 
3321 Steps 	2370.000000 total reward	 1 natural end 
4457 Steps 	5340.000000 total reward	 1 natural end 
3433 Steps 	1250.000000 total reward	 1 natural end 
6945 Steps 	6960.000000 total reward	 1 natural end 
12817 Steps 	5510.000000 total reward	 1 natural end 
5601 Steps 	5800.000000 total reward	 1 natural end 
9817 Steps 	6490.000000 total reward	 1 natural end 
5129 Steps 	6010.000000 total reward	 1 natural end 
5265 Steps 	5210.000000 total reward	 1 natural end 
8857 Steps 	6520.000000 total reward	 1 natural end 
4113 Steps 	2560.000000 total reward	 1 natural end 
8737 Steps 	7970.000000 total reward	 1 natural end 
5257 Steps 	4500.000000 total reward	 1 natural end 
3601 Steps 	4510.000000 total reward	 1 natural end 
4961 Steps 	2420.000000 total reward	 1 natural end 
9633 Steps 	4730.000000 total reward	 1 natural end 
4425 Steps 	4640.000000 total reward	 1 natural end 
6785 Steps 	8540.000000 total reward	 1 natural end 
6393 Steps 	6670.000000 total reward	 1 natural end 
4297 Steps 	1830.000000 total reward	 1 natural end 
6921 Steps 	6420.000000 total reward	 1 natural end 
7545 Steps 	5500.000000 total reward	 1 natural end 
6033 Steps 	5490.000000 total reward	 1 natural end 
4793 Steps 	5300.000000 total reward	 1 natural end 
6713 Steps 	4110.000000 total reward	 1 natural end 
7497 Steps 	8470.000000 total reward	 1 natural end 
5297 Steps 	6190.000000 total reward	 1 natural end 
