RL-Glue C Experiment Codec Version 2.0, Build 576
	Connecting to host=127.0.0.1 on port=4096...
	RL-Glue C Experiment Codec :: Connected
VERSION RL-Glue-3.0 PROBLEMTYPE episodic DISCOUNTFACTOR 1 OBSERVATIONS INTS (128 0 255)(33600 0 127) ACTIONS INTS (0 18) REWARDS (UNSPEC UNSPEC) EXTRA Name: Arcade Learning Environment 
7353 Steps 	6520.000000 total reward	 1 natural end 
5577 Steps 	2420.000000 total reward	 1 natural end 
2833 Steps 	540.000000 total reward	 1 natural end 
6185 Steps 	7100.000000 total reward	 1 natural end 
5081 Steps 	5420.000000 total reward	 1 natural end 
5473 Steps 	5580.000000 total reward	 1 natural end 
8393 Steps 	6580.000000 total reward	 1 natural end 
4249 Steps 	5380.000000 total reward	 1 natural end 
4105 Steps 	2800.000000 total reward	 1 natural end 
6241 Steps 	4360.000000 total reward	 1 natural end 
4617 Steps 	4120.000000 total reward	 1 natural end 
3409 Steps 	740.000000 total reward	 1 natural end 
7521 Steps 	5420.000000 total reward	 1 natural end 
5209 Steps 	5250.000000 total reward	 1 natural end 
6441 Steps 	6430.000000 total reward	 1 natural end 
4873 Steps 	7730.000000 total reward	 1 natural end 
7681 Steps 	7910.000000 total reward	 1 natural end 
8265 Steps 	6320.000000 total reward	 1 natural end 
8121 Steps 	4660.000000 total reward	 1 natural end 
3401 Steps 	1310.000000 total reward	 1 natural end 
9905 Steps 	8900.000000 total reward	 1 natural end 
7401 Steps 	8720.000000 total reward	 1 natural end 
7009 Steps 	8630.000000 total reward	 1 natural end 
8185 Steps 	4380.000000 total reward	 1 natural end 
8681 Steps 	6320.000000 total reward	 1 natural end 
11161 Steps 	5350.000000 total reward	 1 natural end 
4121 Steps 	7700.000000 total reward	 1 natural end 
6009 Steps 	4180.000000 total reward	 1 natural end 
4289 Steps 	2270.000000 total reward	 1 natural end 
4241 Steps 	3720.000000 total reward	 1 natural end 
5985 Steps 	3730.000000 total reward	 1 natural end 
7617 Steps 	5460.000000 total reward	 1 natural end 
5625 Steps 	4750.000000 total reward	 1 natural end 
7481 Steps 	10291.000000 total reward	 1 natural end 
7673 Steps 	6220.000000 total reward	 1 natural end 
6529 Steps 	4210.000000 total reward	 1 natural end 
4945 Steps 	5620.000000 total reward	 1 natural end 
10633 Steps 	6870.000000 total reward	 1 natural end 
7121 Steps 	6420.000000 total reward	 1 natural end 
6753 Steps 	6290.000000 total reward	 1 natural end 
10521 Steps 	10401.000000 total reward	 1 natural end 
6353 Steps 	6200.000000 total reward	 1 natural end 
8113 Steps 	8610.000000 total reward	 1 natural end 
6785 Steps 	6390.000000 total reward	 1 natural end 
3681 Steps 	3760.000000 total reward	 1 natural end 
5321 Steps 	5730.000000 total reward	 1 natural end 
6497 Steps 	6510.000000 total reward	 1 natural end 
5225 Steps 	8670.000000 total reward	 1 natural end 
4849 Steps 	3890.000000 total reward	 1 natural end 
6689 Steps 	7610.000000 total reward	 1 natural end 
16121 Steps 	6610.000000 total reward	 1 natural end 
5721 Steps 	4850.000000 total reward	 1 natural end 
4961 Steps 	3090.000000 total reward	 1 natural end 
5153 Steps 	5510.000000 total reward	 1 natural end 
9337 Steps 	12021.000000 total reward	 1 natural end 
7209 Steps 	7870.000000 total reward	 1 natural end 
8089 Steps 	7080.000000 total reward	 1 natural end 
8961 Steps 	7230.000000 total reward	 1 natural end 
5145 Steps 	3640.000000 total reward	 1 natural end 
12729 Steps 	6740.000000 total reward	 1 natural end 
7137 Steps 	8560.000000 total reward	 1 natural end 
6689 Steps 	8560.000000 total reward	 1 natural end 
4241 Steps 	2150.000000 total reward	 1 natural end 
4281 Steps 	2410.000000 total reward	 1 natural end 
6401 Steps 	2650.000000 total reward	 1 natural end 
4993 Steps 	2370.000000 total reward	 1 natural end 
5145 Steps 	5690.000000 total reward	 1 natural end 
8889 Steps 	6840.000000 total reward	 1 natural end 
4745 Steps 	5250.000000 total reward	 1 natural end 
9505 Steps 	5710.000000 total reward	 1 natural end 
4457 Steps 	3860.000000 total reward	 1 natural end 
9121 Steps 	4760.000000 total reward	 1 natural end 
5057 Steps 	3780.000000 total reward	 1 natural end 
3617 Steps 	2410.000000 total reward	 1 natural end 
5017 Steps 	2690.000000 total reward	 1 natural end 
6049 Steps 	7480.000000 total reward	 1 natural end 
5849 Steps 	7860.000000 total reward	 1 natural end 
5553 Steps 	6220.000000 total reward	 1 natural end 
5169 Steps 	2720.000000 total reward	 1 natural end 
6665 Steps 	6160.000000 total reward	 1 natural end 
8121 Steps 	7190.000000 total reward	 1 natural end 
6065 Steps 	5510.000000 total reward	 1 natural end 
6345 Steps 	4870.000000 total reward	 1 natural end 
10673 Steps 	9490.000000 total reward	 1 natural end 
7201 Steps 	4050.000000 total reward	 1 natural end 
7769 Steps 	2960.000000 total reward	 1 natural end 
4089 Steps 	1860.000000 total reward	 1 natural end 
4833 Steps 	6050.000000 total reward	 1 natural end 
5561 Steps 	2990.000000 total reward	 1 natural end 
6561 Steps 	8590.000000 total reward	 1 natural end 
3745 Steps 	1590.000000 total reward	 1 natural end 
10609 Steps 	7190.000000 total reward	 1 natural end 
7441 Steps 	6240.000000 total reward	 1 natural end 
9665 Steps 	8860.000000 total reward	 1 natural end 
4785 Steps 	2840.000000 total reward	 1 natural end 
6121 Steps 	7090.000000 total reward	 1 natural end 
